Licence Num,Licensee,Trading As,Category,Trading Hours,After 11 pm,Suburb,Latitude,Longitude,Postal Address,Postal Suburb,Postal Postcode,Council,Region,Metro/Regional,Gaming,geom,geom_suburb
32204545,KOBBEK PTY LTD,PIZZA AND GRILL COMPANY,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,CAMPBELLFIELD,-37.688609,144.96005060000002,CAMP ROAD & HUME HIGHWAY,CAMPBELLFIELD,3061,HUME CITY COUNCIL,Metro North,Metro,N,POINT (144.9600506 -37.688609),Hume - Broadmeadows
32204692,RAMONA PTY. LTD.,SOFIA RESTAURANT BURWOOD,Restaurant and cafe Licence,Trading to 12 midnight,Trading to Midnight,BURWOOD EAST,-37.8534186,145.1607156,299-301 BURWOOD HIGHWAY,BURWOOD EAST,3151,WHITEHORSE CITY COUNCIL,Metro East,Metro,N,POINT (145.1607156 -37.8534186),Whitehorse  - Nunawading W.
32204804,LOVELY PANCAKES PTY LTD,THE PANCAKE PARLOUR,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,DONCASTER,-37.788422,145.119528,152 LITTLE LONSDALE STREET,MELBOURNE,3000,MANNINGHAM CITY COUNCIL,Metro East,Metro,N,POINT (145.119528 -37.788422),Manningham - West
32204846,FLOWER DRUM PTY LTD,FLOWER DRUM,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,MELBOURNE,-37.81224291,144.9693327,17 MARKET LANE (124-128 BOURKE STREET),MELBOURNE,3000,MELBOURNE CITY COUNCIL,Metro North,Metro,N,POINT (144.9693327 -37.81224291),Melbourne - Inner
32205494,PALSAIK FOOD PTY LTD,PALSAIK,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,MELBOURNE,-37.81244675,144.9686115,FIRST FLOOR 139 LITTLE BOURKE STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,Metro North,Metro,N,POINT (144.9686115 -37.81244675),Melbourne - Inner
32121470,VERMONT SOUTH CLUB INC,VERMONT SOUTH CLUB,Full Club Licence,Full club licence,Trading to 11PM,VERMONT SOUTH,-37.851838,145.179624,P O BOX 6002,VERMONT SOUTH,3133,WHITEHORSE CITY COUNCIL,Metro East,Metro,N,POINT (145.179624 -37.851838),Whitehorse - Nunawading E.
32121577,REGGIO CALABRIA CLUB INC,REGGIO CALABRIA CLUB,Full Club Licence,Full club licence,Trading to 11PM,BRUNSWICK WEST,-37.77513836,144.93802119999998,476 BRUNSWICK ROAD,PARKVILLE,3052,MORELAND CITY COUNCIL,Metro North,Metro,N,POINT (144.9380212 -37.77513836),Moreland - Brunswick
32121747,DOXA SOCIAL CLUB INC,CLOCKS AT FLINDERS STREET STATION,Full Club Licence,Full club licence,Trading to 11PM,MELBOURNE,-37.8185304,144.9678321,P.O. BOX 13121,MELBOURNE,8010,MELBOURNE CITY COUNCIL,Metro North,Metro,Y,POINT (144.9678321 -37.8185304),Melbourne - Inner
32121844,NORTHCOTE PARK FOOTBALL CLUB INC,NORTHCOTE PARK FOOTBALL CLUB,Full Club Licence,Full club licence,Trading to 11PM,BRUNSWICK,-37.77586861,144.9602696,71 SYDNEY ROAD,BRUNSWICK,3056,MORELAND CITY COUNCIL,Metro North,Metro,Y,POINT (144.9602696 -37.77586861),Moreland - Brunswick
32122002,SERBIAN SPORTS CENTRE INC,SERBIAN SPORTS CENTRE,Full Club Licence,Full club licence,Trading to 11PM,KEYSBOROUGH,-38.028679,145.18203,P O BOX 403,SPRINGVALE,3171,GREATER DANDENONG CITY COUNCIL,Metro South,Metro,N,POINT (145.18203 -38.028679),Gr. Dandenong Bal
32122086,ITALIAN SOCIAL CLUB ALTONA INC,ITALIAN SOCIAL CLUB ALTONA,Full Club Licence,Full club licence,Trading to 11PM,ALTONA NORTH,-37.830103,144.85644,PO BOX 96,ALTONA NORTH,3025,HOBSONS BAY CITY COUNCIL,Metro West,Metro,N,POINT (144.85644 -37.830103),Hobsons Bay - Altona
